UserID,PreV,PreA,PreD,Emotion,PostV,PostA,PostD,Task,Start,End,Ntrials,V1,A1,D1,V2,A2,D2,V3,A3,D3,,,,,,,
1,7,5,6,Happy,6,2,5,Stroop,9:13:29,9:15:11,97,4,8,1,5,3,5,5,2,5,,,,,,,
1,6,3,5,Happy,6,1,6,Waiting,9:18:41,9:19:41,0,4,3,4,5,4,4,4,3,4,,,,,,,
1,5,1,5,Happy,7,3,5,Manipulation,9:23:19,9:23:54,0,8,3,6,5,2,5,5,1,4,,,,,,,
1,5,1,5,Sad,2,3,4,Waiting,9:27:01,9:28:01,0,4,2,4,5,1,4,5,1,4,,,,,,,
1,5,2,5,Sad,3,2,4,Manipulation,9:30:53,9:31:19,0,6,3,5,3,2,4,5,2,5,,,,,,,
1,5,2,5,Sad,2,4,4,Stroop,9:34:06,9:34:44,35,6,5,5,5,2,5,5,2,5,,,,,,,
1,5,1,5,Fear,5,3,4,Manipulation,9:37:21,9:37:43,0,3,3,3,5,2,5,5,1,5,,,,,,,
1,5,1,4,Fear,4,3,4,Stroop,9:40:04,9:40:25,16,7,4,6,5,2,5,5,1,6,,,,,,,
1,5,2,5,Fear,3,4,3,Waiting,9:42:44,9:43:44,0,4,3,3,5,1,5,5,1,6,,,,,,,
2,5,5,4,Happy,9,9,4,Stroop,9:34:06,9:34:43,34,4,4,2,5,3,4,5,5,4,,,,,,,
2,4,4,4,Happy,8,7,6,Waiting,9:37:31,9:38:31,0,4,4,3,4,4,4,3,3,2,,,,,,,
2,3,4,2,Happy,8,7,7,Manipulation,9:40:53,9:41:32,0,8,7,8,5,3,5,3,4,5,,,,,,,
2,3,3,5,Sad,1,9,2,Waiting,9:43:51,9:44:51,0,3,4,3,3,3,2,3,5,4,,,,,,,
2,3,4,3,Sad,3,6,7,Manipulation,9:47:10,9:48:00,0,7,8,8,2,4,3,1,3,2,,,,,,,
2,3,4,3,Sad,2,6,4,Stroop,9:50:23,9:50:46,19,5,5,6,4,3,4,3,4,9,,,,,,,
2,4,4,3,Fear,5,7,1,Manipulation,9:53:03,9:53:22,0,6,6,7,3,5,4,5,4,4,,,,,,,
2,4,5,6,Fear,4,9,2,Stroop,9:55:38,9:55:56,13,5,5,4,4,1,2,3,3,3,,,,,,,
2,4,2,2,Fear,4,7,3,Waiting,9:58:08,9:59:08,0,4,8,3,4,3,4,3,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,2,6,Happy,6,3,6,Stroop,4:54:20,4:55:26,74,3,4,6,5,2,5,4,2,5,,,,,,,
3,5,1,5,Happy,4,3,5,Waiting,4:57:59,4:58:59,0,3,3,6,3,4,7,3,5,7,,,,,,,
3,4,2,5,Happy,6,1,4,Manipulation,5:02:35,5:03:37,0,4,6,6,4,3,6,3,3,5,,,,,,,
3,4,2,5,Sad,2,1,5,Waiting,5:06:05,5:07:05,0,4,1,6,3,2,7,3,2,8,,,,,,,
3,4,1,5,Sad,3,1,5,Manipulation,5:09:33,5:10:15,0,7,1,4,4,1,6,4,1,7,,,,,,,
3,3,1,8,Sad,2,3,5,Stroop,5:12:30,5:13:18,37,3,6,7,4,2,6,5,1,5,,,,,,,
3,4,1,5,Fear,3,2,8,Manipulation,5:15:28,5:15:45,0,8,1,5,3,2,8,3,3,9,,,,,,,
3,3,3,8,Fear,2,6,4,Stroop,5:17:59,5:18:22,20,4,5,8,1,1,9,1,1,9,,,,,,,
3,3,1,8,Fear,3,3,5,Waiting,5:20:35,5:21:35,0,1,3,9,2,5,9,1,6,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,3,6,Happy,6,3,7,Stroop,11:13:56,11:15:02,63,5,5,6,6,4,6,6,2,6,,,,,,,
4,7,2,6,Happy,7,2,6,Waiting,11:17:35,11:18:35,0,6,3,6,6,3,6,5,2,6,,,,,,,
4,6,2,6,Happy,7,2,6,Manipulation,11:21:03,11:22:33,0,7,4,7,7,3,7,7,3,7,,,,,,,
4,7,3,7,Sad,6,3,6,Waiting,11:24:55,11:25:55,0,6,2,7,6,3,6,5,3,5,,,,,,,
4,7,2,7,Sad,7,2,7,Manipulation,11:26:51,11:27:27,0,7,4,7,7,3,6,7,3,7,,,,,,,
4,7,2,6,Sad,6,3,6,Stroop,11:29:51,11:30:18,27,5,4,5,6,3,6,7,2,6,,,,,,,
